company,category,location,fit_tier,offers_qualifying_internship,intern_role_types,ats,board_token_or_url,early_opener,class_year_sensitive,typical_open_window,current_status,current_posting_url,last_checked,notes
Amperon,ai-energy,NY,A,unknown,"analyst, data, markets",greenhouse,amperon,false,false,,closed,,2026-08-24,Energy demand forecasting; candidate Greenhouse token — verify.
Analysis Group,consulting,SF / LA / NY,A,unknown,"analyst, research",manual,https://www.analysisgroup.com/careers/,false,true — Confirm class-year fit for analyst intern track.,,unknown,,2026-08-24,Verify ATS.
Aurora Energy Research,consulting,Bay (Oakland),A,unknown,"analyst, research, markets",greenhouse,auroraenergyresearch,false,false,,unknown,,2026-08-24,Candidate Greenhouse token — verify. Strong markets/analytics fit.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Ava Community Energy,CCA,Bay (Oakland),A,unknown,"analyst, data, policy",manual,https://avaenergy.org/about/careers/,false,false,,unknown,,2026-08-24,Warm existing lead. CCA careers often on small/custom portals; verify ATS.
BloombergNEF,consulting,NY / SF,A,unknown,"analyst, research, data",manual,https://careers.bloomberg.com/,true,false,opens early (Aug-Oct) for following summer,unknown,,2026-08-24,"Bloomberg custom careers site; large structured program, verify manually."
Camus Energy,ai-energy,Bay Area,A,unknown,"analyst, data",lever,camus,false,false,,unknown,,2026-08-24,"Grid orchestration SaaS (11-50 employees). Candidate Lever token — verify. Small team, may not use 'intern' in titles.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24"
Charles River Associates (CRA),consulting,SF / LA / NY,A,unknown,"analyst, research",manual,https://www.crai.com/careers/,false,true — Confirm class-year fit.,,unknown,,2026-08-24,Verify ATS (often Workday).
CleanPowerSF / SFPUC,CCA,SF,A,unknown,"policy, analyst, data",manual,https://careers.sf.gov/,false,false,,unknown,,2026-08-24,Public-sector hiring is slow; SF gov careers portal. Manual check.
CPUC (California Public Utilities Commission),utility,SF,A,unknown,"policy, analyst, research",manual,https://www.cpuc.ca.gov/about-cpuc/careers,false,false,,unknown,,2026-08-24,State policy roles; CalCareers portal. Manual check.
E3 (Energy + Environmental Economics),consulting,SF,A,unknown,"analyst, research",manual,https://www.ethree.com/careers/,false,true — Recruits students near graduation; a summer-2027 rising senior may fall outside the target class year — confirm eligibility per posting before applying.,,unknown,,2026-08-24,Tier-A energy-economics fit. Careers platform unconfirmed; treat as manual until verified.
Energy Innovation,nonprofit-policy,SF,A,unknown,"policy, analyst, research, data",manual,https://energyinnovation.org/about/careers/,false,false,,unknown,,2026-08-24,Energy policy think tank; strong policy/analytics fit. Verify ATS.
GridCare,ai-energy,SF,A,unknown,"analyst, data",ashby,gridcare,false,false,,closed,,2026-08-24,Early-stage startup; candidate Ashby token — verify. Small teams may not post the word 'intern'.
Gridmatic,ai-energy,Bay (Cupertino),A,unknown,"analyst, data, quantitative, markets",ashby,gridmatic,false,false,,unknown,,2026-08-24,Power-trading + ML; candidate Ashby token — verify. Strong quant/markets fit.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Kevala,ai-energy,SF,A,unknown,"analyst, data, research",lever,kevala,false,false,,unknown,,2026-08-24,Grid data analytics; candidate Lever token — verify. Strong data fit.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Lawrence Berkeley National Laboratory,lab,Bay (Berkeley),A,unknown,"research, data, analyst, policy",manual,https://jobs.lbl.gov/,true,false,structured undergrad programs; deadlines vary by program (some fall/winter),unknown,,2026-08-24,Energy Analysis & Environmental Impacts divisions; structured undergrad programs (e.g. via DOE SULI). Custom careers site + program portals. Manual check.
MCE,CCA,Bay (San Rafael),A,unknown,"analyst, policy, data",manual,https://www.mcecleanenergy.org/careers/,false,false,,unknown,,2026-08-24,Very close to home. Verify ATS.
NERA Economic Consulting,consulting,SF / NY,A,unknown,"analyst, research",manual,https://www.nera.com/careers.html,false,true — Confirm class-year fit.,,unknown,,2026-08-24,Verify ATS (part of Marsh McLennan; likely Workday).
Peninsula Clean Energy,CCA,Bay (Redwood City),A,unknown,"analyst, policy, data",manual,https://www.peninsulacleanenergy.com/careers/,false,false,,unknown,,2026-08-24,Verify ATS.
RMI (Rocky Mountain Institute),nonprofit-policy,Bay (Oakland),A,unknown,"analyst, research, policy, data",greenhouse,rmi,false,false,,unknown,,2026-08-24,Clean-energy think tank; runs structured associate/intern programs. Candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
The Brattle Group,consulting,SF / NY,A,unknown,research analyst,manual,https://www.brattle.com/careers/open-positions/,false,true — Econ consultancies often recruit near-graduation; confirm class-year fit.,,unknown,,2026-08-24,Verify ATS; often iCIMS/Workday for econ consulting.
Verse,ai-energy,SF,A,unknown,"analyst, data, markets",ashby,verse,false,false,,unknown,,2026-08-24,Clean-energy procurement/optimization; candidate Ashby token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Watershed,carbon-software,SF,A,unknown,"analyst, data, research",greenhouse,watershed,false,false,,closed,,2026-08-24,Greenhouse board confirmed to exist (job-boards.greenhouse.io/watershed) via search; still verify a QUALIFYING non-eng intern role before marking 'yes'.
Amazon (sustainability / energy),big-tech,Bay Area,B,unknown,"analyst, data, business",manual,https://www.amazon.jobs/en/search?base_query=sustainability%20intern,true,false,opens early for summer,unknown,,2026-08-24,Custom careers site; sustainability/energy teams. Manual check.
Apple (Environment team),big-tech,Bay (Cupertino),B,unknown,"analyst, data, business",manual,https://jobs.apple.com/en-us/search?team=internships,true,false,opens fall for summer,unknown,,2026-08-24,Custom careers site; Environment/Energy teams. Manual check.
Arcadia,ai-energy,remote / DC,B,unknown,"analyst, data",greenhouse,arcadiapower,false,false,,unknown,,2026-08-24,Energy data platform; candidate Greenhouse token — verify. Remote acceptable.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Banyan Infrastructure,ai-energy,SF,B,unknown,"analyst, finance, data",lever,banyaninfrastructure,false,false,,unknown,,2026-08-24,Project-finance software; candidate Lever token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
CAISO,utility,Bay-adjacent (Folsom),B,unknown,"analyst, markets, data",manual,https://www.caiso.com/about/careers,false,false,,unknown,,2026-08-24,"Location borderline (Folsom); check remote/hybrid. Grid operator, strong markets fit."
